Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4781f5d9cb391ec31d83599d9b22755cc40f27a2a29ca8dec07881a7e046ffcc,2015-11,Surrey Police,Surrey Police,-0.450350,51.371312,On or near Petrol Station,E01030375,Elmbridge 012E,Investigation complete; no suspect identified
0bef41999fd4f56e104ca2e321ca4bd88cfa6f01d4823c6aa6957f864bb1f343,2015-11,Surrey Police,Surrey Police,-0.432249,51.379263,On or near BEVERLEY CLOSE,E01030341,Elmbridge 011D,Investigation complete; no suspect identified
2d31f7db93d833ff5938184d6e5a83955a08a33e9b50663ae641c45c8cd345d9,2015-11,Surrey Police,Surrey Police,-0.430820,51.374397,On or near PENNINGTON DRIVE,E01030338,Elmbridge 011A,Investigation complete; no suspect identified
1c2b732a01d9edeaae2b5c5d7158440dca79cdd1ffce59b8450ba4ee1cd700ec,2015-11,Surrey Police,Surrey Police,-0.428822,51.371898,On or near BEECHWOOD MANOR,E01030341,Elmbridge 011D,Investigation complete; no suspect identified
8c8908c234407bfe8f3396ee8c4cd94f568f321c81fc01a6ddd08d6a561c42af,2015-11,Surrey Police,Surrey Police,-0.434725,51.335296,On or near SEVEN HILLS ROAD (SOUTH),E01030318,Elmbridge 014F,Investigation complete; no suspect identified
97288c337262f6d212119b1e6ab01a7d72c065fffea84bd758ca58a0fc3e6533,2015-11,Surrey Police,Surrey Police,-0.444992,51.363633,On or near EGERTON ROAD,E01030348,Elmbridge 016C,Investigation complete; no suspect identified
72e64fb5859b63c1426dcd3a155cac75f9a2c619cadbe1c234b92fa1a0d67e74,2015-11,Surrey Police,Surrey Police,-0.444992,51.363633,On or near EGERTON ROAD,E01030348,Elmbridge 016C,Investigation complete; no suspect identified
ad61efe846be6091ff1aaba27804bb7b380ef0ea000c96d7fc06d89a7d1e7eb4,2015-11,Surrey Police,Surrey Police,-0.455799,51.373326,On or near SPRINGFIELD LANE,E01030374,Elmbridge 012D,Investigation complete; no suspect identified
1be5e814b867fedeef22baa25ffc95f1f7ae57d8a003f15809e1896beb552dca,2015-11,Surrey Police,Surrey Police,-0.460529,51.372363,On or near CHURCH STREET,E01030372,Elmbridge 012B,Investigation complete; no suspect identified
0e3a1b9c1834cbd7dcfa8ce33299d5cbedfb5776cb61ff3646778f9de6512bb7,2015-11,Surrey Police,Surrey Police,-0.458091,51.374795,On or near THE CRESCENT,E01030372,Elmbridge 012B,Investigation complete; no suspect identified
