Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0b1dd19c2a6dd48fba00c0459c70946d389a58705183ec16c3418d92186975e4,2015-11,Cleveland Police,Cleveland Police,-1.222900,54.557820,On or near MARTON ROAD,E01012018,Middlesbrough 011A,Offender sent to prison
b6eaff44c8205d280d1eacfc1e46855bc1c32b6e3c1f8474030e75e4a6639e8d,2015-11,Cleveland Police,Cleveland Police,-1.074472,54.619102,On or near FLEMING STREET,E01012100,Redcar and Cleveland 001A,Offender otherwise dealt with
c76303aa09cc4ac0e9999109362dfd771392ac95de7c21fe02654c36b449e7c9,2015-11,Cleveland Police,Cleveland Police,-1.246951,54.658150,On or near KIRRIEMUIR ROAD,E01011977,Hartlepool 012C,Offender given community sentence
98c3cf1f07ac462f3c0c7725a82925525c638e18c6ed8fbfd1d9632fce30215d,2015-11,Cleveland Police,Cleveland Police,-1.247112,54.656183,On or near MALCOM ROAD,E01011962,Hartlepool 012B,Defendant found not guilty
7eaad3362596cc64ba9f9f8b09ac17a1cf66156dc880e0abf4b829b3402a3a77,2015-11,Cleveland Police,Cleveland Police,-1.238671,54.527993,On or near SOUTHDEAN DRIVE,E01012043,Middlesbrough 018B,Offender given suspended prison sentence
50cc6f2d300e89afe00c7539fb16ec305b89bf358bfd4e70c212e0af0adec135,2015-11,Cleveland Police,Cleveland Police,-1.199518,54.550774,On or near OVERDALE ROAD,E01012085,Middlesbrough 010D,Offender sent to prison
dbba25d9642b3a5eee3a2f7d1f8f07e26a28dced70bca4ee479b0b4b0dd25a2a,2015-11,Cleveland Police,Cleveland Police,-1.215581,54.685298,On or near VICTORIA ROAD,E01011999,Hartlepool 007D,Offender given conditional discharge
802dfcc2cd02383b6caf4dbf00c009d90ed5190155ac65df2c7834d1ae217105,2015-11,Cleveland Police,Cleveland Police,-1.313794,54.561380,On or near YARM STREET,E01033477,Stockton-on-Tees 014G,Defendant found not guilty
92ba2157cd8472e50068207da66295915caf3beb6df81187e0c30d7983039f3a,2015-11,Cleveland Police,Cleveland Police,-1.205048,54.573323,On or near CARCUT ROAD,E01012061,Middlesbrough 002D,Court case unable to proceed
a230a1b4ceb4c776062eb7d2ee0640e942be8198beaa78e0fc80126781b7dd94,2015-11,Cleveland Police,Cleveland Police,-1.212397,54.697535,On or near LANCASTER ROAD,E01011992,Hartlepool 002D,Offender given conditional discharge
