Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5fa1d1468da0d911faef6b351111b25520b25aebf140eacc9fd316c7ae6b6abf,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
21176bac265cb036093a23644df563616d8b1d3deb5b12cf7e6da050fe485e93,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Suspect charged
821017c57e70c8a057049bf870577f3414735dc490f676f2a6b639f29b87341a,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
bd646b5f276095f0965df929e49e639dc80477001669b11bb3453b7362587fdc,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Formal action is not in the public interest
b906c7abd2232d30453b13586472a5d5734cac26a70b3388661ce48517625665,2015-11,Suffolk Constabulary,Suffolk Constabulary,,,No location,,,Unable to prosecute suspect
4600d0694d6b63d3cc370a47e6c9d6d0f6db6cd92e99fe042abe400abcbec0b0,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.313006,52.094114,On or near MARKET HILL,E01030211,Suffolk Coastal 008D,Investigation complete; no suspect identified
55d268e3ea2ba4e7f2065e5dfb6a5e5757aed98de7d0158c1b1e9d86fd309171,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.656922,52.435024,On or near MILL ROAD,E01030286,Waveney 011B,Investigation complete; no suspect identified
1c78203584ea3f61609aedc4818953b2c9275a27c764bcd8e928077e7c954de7,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.469882,52.137692,On or near BROAD ROAD,E01030151,St Edmundsbury 011C,Investigation complete; no suspect identified
8c7714d9ca8bcd650df0f15900927736a4f59e4d23a6a6c65cc32255a8a23aa3,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.536848,52.107664,On or near LOWER NORTH STREET,E01030120,St Edmundsbury 011A,Investigation complete; no suspect identified
09a549dce5dc87561961b3b532d4b4faf7c4def04a5f7d0785599b7ccca4ee92,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.564321,52.092681,On or near CLARE ROAD,E01030101,St Edmundsbury 010B,Investigation complete; no suspect identified
2370b3ad001a1f4cb7518af96e96a2d7a0947fb0fbb85f0ab5c7179b9aafb9b3,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.316076,52.012467,On or near STRUSTON MEAD,E01030217,Suffolk Coastal 012E,Investigation complete; no suspect identified
e799c7763ef1b8b0ed0f85debb37f4c762fe0264c9711c440385650fa8a8dead,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.385452,52.250755,On or near SEFTON WAY,E01029951,Forest Heath 008D,Investigation complete; no suspect identified
20bfb7765e50b8e4b323594b24ed96130646766fc830d49abefad460f39e8bc3,2015-11,Suffolk Constabulary,Suffolk Constabulary,0.721558,52.245649,On or near MINDEN CLOSE,E01033048,St Edmundsbury 009F,Investigation complete; no suspect identified
c1626fce82b38e235cce83f4634cd5f9d32166336cab6e6657874b1541ca4254,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.191802,52.040906,On or near RECREATION WAY,E01029994,Ipswich 014B,Investigation complete; no suspect identified
959afb63849da5e04b6ac26adddbe72540cc3fb192aba92d753690042ef3cc61,2015-11,Suffolk Constabulary,Suffolk Constabulary,1.108129,52.042785,On or near LABURNUM CLOSE,E01029909,Babergh 005E,Investigation complete; no suspect identified
